,club,codeid,div,draws,english,gagainst,gscores,loss,netscore,plays,points,rank,team,wins,year
225,四川全兴,SCQX,超,11,Sichuan Quanxin,22,42,6,20,30,510,4,四川全兴郎酒,13,1999
226,辽宁FC,LNFC,超,9,Liaoning FC,25,42,6,17,28,492.5,5,辽宁抚顺健力宝/双菱,13,1999
227,重庆前卫寰岛,CQQH,超,10,Qianwei Qianwei Huandao,34,56,9,22,32,490,6,重庆隆鑫,13,1999
228,延边FC,YBFC,超,13,Yanbian FC,46,39,10,-7,34,457.5,7,吉林敖东,11,1999
229,北京国安,BJGA,亚,10,Beijing Guoan,28,46,9,18,30,435,8,北京国安,11,1999
230,青岛颐中海牛,QDET,超,6,Qingdao Etsong Hainiu,43,34,13,-9,30,382.5,9,青岛颐中海牛,11,1999
231,云南红塔,YNHT,甲,6,Yunnan Hongta,23,42,6,19,28,359.09,10,云南红塔,16,1999
232,天津泰达,TJTED,超,11,Tianjin TEDA,32,32,9,0,28,357.5,11,天津泰达,8,1999
233,厦门FC,XMFC,甲,4,Xiamen FC,22,41,6,19,26,324.32,12,厦门远华,16,1999
234,深圳FC,SZPA,超,7,Shenzhen FC,45,26,13,-19,28,310,13,深圳平安保险,8,1999
235,沈阳华晨金客,SYBJK,超,13,Shenyang Brilliance Jinke,37,29,10,-8,28,287.5,14,沈阳海狮,5,1999
236,松日电器广州,GZMSC,超,7,Guangzhou Matsunichi,40,26,14,-14,28,285,15,广州松日,7,1999
237,八一金穗,PLABY,甲,7,Bayi Jinsui,30,41,7,11,26,280.23,16,八一金穗,12,1999
